管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度,緯度,発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
串本町,上野山にしき園,福祉避難所,指定福祉避難所,,,,,,,,,62,135.83864,33.515235,,,,,,10,,串本町津荷29-2,
串本町,上野山にしき園,避難所を兼ねる避難場所,,,津波　,,,☆☆☆,耐震　,,,62,135.838792,33.515129,,,,,,10,50,串本町津荷29-2,
串本町,奥の谷,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.776926,33.476945,,,,,,,30,串本町串本,
串本町,海蔵寺,避難所を兼ねる避難場所,,,地震　津波　,土砂災害予測地域　,,☆☆☆,,○,アルファ米、毛布,10,135.806401,33.505721,,,,89,,30,30,串本町伊串144,
串本町,海蔵寺,避難所を兼ねる避難場所,,津波避難目標地点,洪水　地震　津波　,,☆,☆☆☆,,,,13,135.704296,33.492735,,,,51,,17,17,串本町江田528,
串本町,串本町学校給食センター,避難所を兼ねる避難場所,,,地震　津波　,,,☆☆☆,耐震　,,,17,135.776145,33.471229,,,,,,320,,串本町串本713,
串本町,串本町リサイクルセンター,避難場所,,,津波　,,,☆☆☆,,,,70,135.724569,33.486756,,,,,,,,串本町田並2288-1,
串本町,佐居裏山,避難場所,,,津波　,,,☆☆☆,,,,9,135.721286,33.489642,,,,,,,,串本町田並,
串本町,潮岬あゆみ園,福祉避難所,指定福祉避難所,,,,,,,,,70,135.778489,33.454934,,,,,,10,,串本町潮岬659,
串本町,潮岬あゆみ園,避難所を兼ねる避難場所,,,津波　,,,☆☆☆,耐震　,,,70,135.778719,33.454733,,,,,,,50,串本町潮岬659,
串本町,通園らっこ,福祉避難所,指定福祉避難所,,洪水　,,,,耐震　,,,70,135.833665,33.519652,,,,,,10,,串本町津荷250-1,
串本町,津波避難タワー（田並）,避難場所,,,津波　,,,☆,耐震　,,,9,135.717428,33.48545,,,,,,,12,串本町田並1073-3,
串本町,天理の丘南,避難場所,,,津波　,,,☆☆☆,,,,9,135.738344,33.486574,,,,,,,,串本町有田,
串本町,中谷倉庫,避難場所,,,洪水　津波　,,☆☆☆,☆☆☆,,,,10,135.807963,33.531174,,,,,,,10,串本町古田,
串本町,中の平見中腹,避難場所,,,津波　,,,☆☆☆,,,,27,135.684236,33.492023,,,,,,,,串本町田子,
串本町,にしき園,福祉避難所,指定福祉避難所,,,土砂災害予測地域　津波浸水予測地域,,,耐震　,,,9,135.768953,33.489073,,,,,,25,,串本町二色160,
串本町,ほっとハウスうわの園,福祉避難所,指定福祉避難所,,,,,,,,,70,135.778489,33.454934,,,,,,10,,串本町潮岬659,
串本町,港谷,避難場所,,,津波　,,,☆☆☆,,,,12,135.737588,33.488412,,,,,,,,串本町有田,
串本町,カジヤ裏,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,20,135.761081,33.484935,,,,,,,20,串本町高富,
串本町,稲荷山５,避難場所,,,津波　,,,☆☆☆,,,,13,135.839072,33.518617,,,,,,,,串本町津荷,
串本町,稲荷山４,避難場所,,,津波　,,,☆☆☆,,,,16,135.839579,33.518387,,,,,,,,串本町津荷,
串本町,ＪＲ保線管理ビル,避難場所,,,津波　,,,☆,,,,7,135.821213,33.518009,,,,,,,,串本町西向,
串本町,経塚,避難場所,,,津波　,,,☆☆☆,,,,17,135.817634,33.512604,,,,,,,,串本町神野川,
串本町,阿部付近,避難場所,,,津波　,,,☆☆☆,,,,21,135.779027,33.481445,,,,,,,,串本町鬮野川,
串本町,鈴木宅付近,避難場所,,,津波　,,,☆☆☆,,,,46,135.851548,33.465683,,,,,,,,串本町樫野,
串本町,福島宅付近,避難場所,,,津波　,,,☆☆☆,,,,46,135.85077,33.466374,,,,,,,,串本町樫野,
串本町,バス停港口,避難場所,,,津波　,,,☆☆☆,,,,23,135.852421,33.468318,,,,,,,,串本町樫野,
串本町,和助の山B,避難場所,,,津波　,,,☆☆☆,,,,20,135.739946,33.486808,,,,,,,,串本町有田,
串本町,井城跡地,避難場所,,,津波　,,,☆☆☆,,,,13,135.79261,33.449902,,,,,,,,串本町出雲,
串本町,尾の浦付近,避難場所,,,津波　,,,☆☆☆,,,,19,135.786372,33.450021,,,,,,,,串本町出雲,
串本町,くしもと町立病院,避難場所,,,津波　,,,☆☆☆,,,,53,135.784483,33.484762,,,,,,,,串本町サンゴ台691-7,
串本町,錦江山北,避難場所,,,津波　,,,☆☆☆,,,,20,135.772983,33.475174,,,,,,,,串本町串本,
串本町,バス停裏,避難場所,,,津波　,,,☆☆☆,,,,18,135.775015,33.474824,,,,,,,,串本町串本,
串本町,広原宅裏,避難場所,,,津波　,,,☆☆☆,,,,21,135.775237,33.475142,,,,,,,,串本町串本,
串本町,大江戸温泉物語（４階以上）,避難場所,,,津波　,,,☆,,,,12,135.788485,33.479603,,,,,,,,串本町串本2300-1,
串本町,ホテルシーカンス,避難場所,,,津波　,,,☆,,,,15,135.781603,33.469268,,,,,,,,串本町串本1735-33,
串本町,稲垣裏山,避難場所,,,津波　,,,☆☆☆,,,,30,135.762974,33.490828,,,,,,,,串本町高富,
串本町,小西マンション（屋上）,避難場所,,津波避難目標地点,津波　,津波浸水予測地域,,☆,耐震　,,,,135.780891,33.470401,,,,,,,200,串本町串本1547-7,
串本町,西向中学校（３階以上）,避難場所,,,洪水　崖崩れ・土石流及び地滑り　地震　,,☆,,耐震　,,,15,135.818107,33.510269,,,,731,,,244,串本町西向922,
串本町,海林寺,避難場所,,,地震　,,,,,○,無線機,16,135.796874,33.502044,,,,80,,27,27,串本町姫160,
串本町,出雲集会所,避難場所,,,地震　,,,,耐震　,,,8,135.7915,33.448863,,,,250,,83,83,串本町出雲1027-7,
串本町,田ノ崎,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,28,135.710037,33.483569,,,,,,,40,串本町田並,
串本町,かまとこの平見,避難場所,,津波避難目標地点,崖崩れ・土石流及び地滑り　津波　,,,☆☆☆,,,,50,135.888496,33.540329,,,,,,,15,串本町田原,
串本町,展望台,避難場所,,津波避難目標地点,崖崩れ・土石流及び地滑り　津波　,,,☆☆☆,,,,71,135.877376,33.532799,,,,,,,10,串本町田原,
串本町,むねの平見３,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,50,135.874266,33.535582,,,,,,,20,串本町田原,
串本町,むねの平見２,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,50,135.873192,33.536142,,,,,,,10,串本町田原,
串本町,むねの平見１,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,50,135.873224,33.536985,,,,,,,10,串本町田原,
串本町,坊の山,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,53,135.868562,33.540137,,,,,,,30,串本町田原,
串本町,たん谷,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,54,135.866794,33.53752,,,,,,,20,串本町田原,
串本町,せーべの平見,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,55,135.867113,33.534948,,,,,,,30,串本町田原,
串本町,五平山,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,48,135.868312,33.533641,,,,,,,35,串本町田原,
串本町,えびす,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,20,135.869671,33.532824,,,,,,,30,串本町田原,
串本町,黒潮台,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,24,135.865737,33.530914,,,,,,,15,串本町田原,
串本町,田原小学校（２階以上）,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　津波浸水予測地域,☆,☆,耐震　,○,アルファ米,8,135.868515,33.539116,,,,726,,,242,串本町田原725,
串本町,津波避難タワー（田原）,避難場所,,津波避難目標地点,津波　,津波浸水予測地域,,☆,耐震　,○,簡易トイレ、アルファ米、保存水、毛布、ブルーシート,3.9,135.870269,33.534991,,,,,35,,12,串本町田原428,
串本町,宮様の山,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.842169,33.519442,,,,,,,20,串本町津荷,
串本町,小畑裏,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　,,☆☆☆,,,,17,135.840387,33.517279,,,,,,,15,串本町津荷,
串本町,佐藤宅付近,避難場所,,津波避難目標地点,崖崩れ・土石流及び地滑り　津波　,,,☆☆☆,,,,26,135.84006,33.515035,,,,,,,10,串本町津荷,
串本町,上野山こども園,避難場所,,津波避難目標地点,崖崩れ・土石流及び地滑り　津波　,,,☆☆☆,耐震　,,,60,135.836762,33.51549,,,,,,,50,串本町津荷29-2,
串本町,稲荷山３,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.83968,33.519281,,,,,,,10,串本町津荷,
串本町,稲荷山２,避難場所,,津波避難目標地点,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.839855,33.519005,,,,,,,10,串本町津荷,
串本町,稲荷山１,避難場所,,津波避難目標地点,津波　,,,☆☆☆,,,,20,135.839946,33.518658,,,,,,,10,串本町津荷,
