管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度：東経(世界測地系10進法),緯度：北緯(世界測地系10進法),発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
和歌山市,アイビースクエア,避難場所,指定避難場所,,洪水　津波　,浸水予測地域　津波浸水予測地域,,☆,,,,2.8,135.165662,34.248056,,,,,,,102,和歌山市福島293-1,
和歌山市,太田小学校,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波　大規模な火事,浸水予測地域　,☆☆☆,☆☆☆,耐震　,○,アルファ化米・乾パン・飲料水・毛布・アルミ寝袋・トイレ処理セット・ブルーシート・緊急対応型ラジオ,4.7,135.19883,34.234145,,,,3715,7811,1238,3841,和歌山市太田636,
和歌山市,県営住宅今福第一団地,避難場所,指定避難場所,３階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,5.8,135.165264,34.211,,,,,,,483,和歌山市今福2丁目3-45,
和歌山市,県営住宅今福第二団地（１～5号棟）,避難場所,指定避難場所,３階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,5.8,135.1638,34.209361,,,,,,,1640,和歌山市今福３丁目6-22,
和歌山市,県営住宅雄湊団地,避難場所,指定避難場所,３階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,11.7,135.164909,34.229371,,,,,,,556,和歌山市男野芝丁3,
和歌山市,県営住宅川永団地(1～2号棟),避難場所,指定避難場所,2階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,10.8,135.252681,34.260358,,,,,,,2771,和歌山市島51-2,
和歌山市,県営住宅紀伊団地,避難場所,指定避難場所,1階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,17.7,135.234614,34.264653,,,,,,,1829,和歌山市弘西1042-8,
和歌山市,県営住宅千旦団地10号棟,避難場所,指定避難場所,2階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,9.7,135.246775,34.243781,,,,,,,855,和歌山市禰宜1341-3,
和歌山市,県営住宅西浜団地,避難場所,指定避難場所,4階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,4.8,135.165845,34.201906,,,,,,,802,和歌山市西浜１丁目6-40,
和歌山市,県営住宅ニューかわなが団地１号棟,避難場所,指定避難場所,2階以上の共用部分,洪水　津波　,,☆☆☆,☆☆☆,耐震　,,,10.7,135.252531,34.259064,,,,,,,592,和歌山市島105-2,
